Light Intensity (% of scale max) Run #2,Position (m) Run #2,Light Intensity (% of scale max) Run #6,Position (m) Run #6,Light Intensity (% of scale max) Run #7,Position (m) Run #7,Light Intensity (% of scale max) Run #8,Position (m) Run #8,Light Intensity (% of scale max) Run #9,Position (m) Run #9
1.7,0.1129,0.4,0.076,1.4,0.1007,0.4,0.0904,0.2,0.0973
1.5,0.113,0.4,0.0761,1.2,0.1009,0.4,0.0907,0.2,0.0973
1.2,0.1138,0.4,0.0761,1,0.1011,0.3,0.0912,0.2,0.0975
1.2,0.114,0.4,0.0761,0.8,0.1013,0.4,0.0921,0.2,0.0978
0.7,0.1149,0.4,0.0766,0.7,0.1017,0.4,0.0925,0.1,0.0985
0.5,0.1156,0.4,0.0768,0.7,0.1023,0.4,0.093,0.1,0.099
0.5,0.1162,0.4,0.0768,0.9,0.1023,0.4,0.0931,0.2,0.0991
0.4,0.1168,0.4,0.0768,1,0.1025,0.4,0.0933,0.2,0.0992
0.4,0.1171,0.4,0.0767,1.3,0.1029,0.4,0.0936,0.2,0.0993
0.4,0.1174,0.4,0.0767,2.6,0.1034,0.4,0.094,0.2,0.0997
0.4,0.1179,0.4,0.0767,3.2,0.104,0.3,0.0945,0.3,0.1004
0.4,0.1182,0.4,0.0767,3.3,0.1044,0.3,0.0952,0.3,0.1011
0.4,0.1189,0.4,0.0766,3.2,0.1047,0.3,0.0954,0.2,0.1015
0.4,0.1197,0.4,0.0766,3,0.1049,0.3,0.0959,1.1,0.1026
0.4,0.1203,0.4,0.0766,2.8,0.105,0.3,0.0964,1.1,0.1026
0.4,0.1207,0.4,0.0766,2.1,0.1055,0.3,0.0965,1.1,0.1026
0.4,0.1211,0.4,0.0766,1.3,0.106,0.3,0.0968,1.2,0.1026
0.4,0.1215,0.4,0.0766,1,0.1062,0.3,0.0971,1.6,0.1027
0.4,0.1217,0.4,0.0766,0.9,0.1063,0.3,0.0973,3.5,0.1034
0.4,0.1226,0.4,0.0767,0.9,0.1063,0.4,0.0975,6.1,0.1038
0.4,0.123,0.4,0.0767,0.9,0.1063,0.4,0.0976,6.9,0.1044
