Light Intensity (% of scale max) Run #2,Position (m) Run #2,Light Intensity (% of scale max) Run #11,Position (m) Run #11,Light Intensity (% of scale max) Run #12,Position (m) Run #12,Light Intensity (% of scale max) Run #13,Position (m) Run #13,Light Intensity (% of scale max) Run #14,Position (m) Run #14
2.2,0.1115,0.5,0.0821,0.5,0.0837,0.5,0.0903,0.6,0.0926
2.2,0.1116,0.5,0.0826,0.5,0.0838,0.5,0.0905,0.7,0.0928
2.2,0.1117,0.5,0.0831,0.5,0.0841,0.5,0.091,0.7,0.0931
2,0.1122,0.5,0.0834,0.5,0.0842,0.5,0.0912,0.8,0.0931
2,0.1124,0.5,0.084,0.6,0.0849,0.5,0.0914,1,0.0933
2,0.1124,0.5,0.0844,0.5,0.0861,0.4,0.0918,1,0.0933
1.8,0.1126,0.6,0.0849,0.5,0.0865,0.4,0.0921,1,0.0933
1.7,0.1129,0.6,0.085,0.6,0.0866,0.5,0.0922,1.1,0.0933
1.5,0.113,0.6,0.0851,0.6,0.0866,0.5,0.0927,1.1,0.0934
1.2,0.1138,0.6,0.0852,0.6,0.0868,0.6,0.0928,1.1,0.0934
1.2,0.114,0.6,0.0852,0.7,0.0872,0.9,0.0933,1.3,0.094
0.7,0.1149,0.7,0.0854,0.7,0.0875,1,0.0935,1.3,0.0942
0.5,0.1156,0.7,0.0856,0.7,0.0877,1,0.0937,1.3,0.0942
0.5,0.1162,0.7,0.0861,0.7,0.0877,1.1,0.0938,1.3,0.0942
0.4,0.1168,0.7,0.0864,0.6,0.088,1.2,0.0938,1.3,0.0942
0.4,0.1171,0.6,0.0867,0.6,0.0881,1.3,0.0942,1.3,0.0942
0.4,0.1174,0.6,0.087,0.6,0.0885,1.4,0.0942,1.2,0.0947
0.4,0.1179,0.5,0.0872,0.6,0.0886,1.5,0.0946,1.2,0.0948
0.4,0.1182,0.5,0.0877,0.7,0.0888,1.5,0.0946,1.8,0.0951
0.4,0.1189,0.5,0.088,0.6,0.0889,1.5,0.0946,2.2,0.096
0.4,0.1197,0.5,0.0883,0.6,0.0889,1.3,0.0954,2.2,0.0965
0.4,0.1203,0.6,0.0885,0.6,0.0889,1,0.0961,2.1,0.0965
0.4,0.1207,0.8,0.0893,0.6,0.0889,1,0.0968,2.1,0.0966
0.4,0.1211,1,0.0898,0.6,0.0889,1.7,0.0975,2.1,0.0967
0.4,0.1215,1,0.0903,0.6,0.0891,1.8,0.0975,2.2,0.0973
0.4,0.1217,1,0.0906,0.7,0.0895,3.6,0.0982,2.7,0.0976
0.4,0.1226,0.9,0.0912,0.7,0.0897,4.1,0.0986,3.5,0.098
0.4,0.123,0.6,0.0918,0.7,0.0898,4.4,0.0991,3.7,0.0981
0.4,0.124,0.6,0.0925,0.7,0.0898,3,0.0998,3.7,0.0981
0.4,0.1242,0.6,0.0928,0.7,0.0898,1.8,0.1005,3.7,0.0981
0.4,0.1243,0.9,0.0933,0.6,0.0907,1.3,0.1007,3.8,0.0981
